Wall time,Step,Value
1546175953,4405,276
1546175979,4407,601
1546176003,4408,551
1546176095,4412,601
1546176095,4413,311
1546176395,4432,296
1546176398,4433,141
1546176404,4435,601
1546176483,4441,481
1546176521,4444,206
1546176985,4471,551
1546177104,4477,601
1546177180,4481,106
1546177234,4484,476
1546177316,4492,446
1546177339,4494,461
1546177678,4511,556
1546177681,4512,571
1546178051,4531,601
1546178062,4532,601
1546178095,4535,386
1546178177,4543,571
1546178178,4544,551
1546178372,4552,586
1546178376,4554,551
1546178402,4555,71
1546178671,4568,506
1546178704,4570,601
1546178824,4580,601
1546178880,4583,351
1546179066,4594,476
1546179089,4597,446
1546179109,4599,601
1546179162,4601,596
1546179332,4613,531
1546179754,4630,601
1546180000,4645,601
1546180051,4651,551
1546180091,4658,511
1546180250,4666,516
1546180298,4670,501
1546180396,4677,456
1546180425,4678,601
1546180511,4679,471
1546180670,4689,531
1546180967,4710,581
1546181050,4715,541
1546181124,4720,486
1546181277,4726,601
1546181430,4736,601
1546181532,4741,601
1546181632,4747,551
1546181737,4751,601
1546181745,4752,456
1546181904,4760,586
1546181980,4763,551
1546181983,4764,601
1546182003,4766,536
1546182042,4769,601
1546182058,4770,601
1546182079,4771,601
1546182248,4778,491
1546182286,4781,571
1546182288,4783,586
1546182288,4783,471
1546182312,4784,576
1546182334,4786,481
1546182361,4789,371
1546182397,4790,601
1546182470,4796,406
1546182539,4802,521
1546182571,4804,601
1546182627,4807,591
1546182984,4827,346
1546183086,4829,541
1546183203,4835,601
1546183285,4842,601
1546183451,4854,286
1546183798,4873,541
1546183813,4875,601
1546184073,4891,601
1546184114,4894,416
1546184144,4896,371
1546184154,4897,601
1546184478,4916,306
1546184944,4940,291
1546185007,4943,501
1546185129,4957,571
1546185218,4964,441
1546185379,4972,601
1546185379,4973,581
1546185413,4976,516
1546185486,4978,436
1546185552,4979,601
1546185958,4993,381
1546186062,5001,601
1546186293,5023,601
1546186408,5029,591
1546186452,5032,601
1546186556,5039,591
1546186992,5052,576
1546187080,5054,601
1546187098,5055,541
1546187255,5062,586
1546187427,5080,601
1546187652,5096,111
1546187769,5103,536
1546187826,5108,551
1546187856,5109,601
1546187975,5115,601
1546188249,5128,551
1546188292,5130,596
1546188448,5136,176
1546188487,5139,306
1546188778,5162,546
1546188821,5167,601
1546189001,5180,356
1546189151,5184,596
1546189615,5202,601
1546189720,5211,481
1546189775,5214,591
1546190043,5233,601
1546190089,5236,86
1546190096,5237,566
1546190172,5239,591
1546190194,5241,601
1546190204,5242,601
1546190239,5246,601
1546190281,5247,576
1546190610,5258,601
1546190718,5264,516
1546190772,5268,601
1546191108,5291,546
1546191288,5304,551
1546191426,5312,496
1546191633,5320,386
1546191905,5331,556
1546191921,5332,471
1546192098,5347,601
1546192165,5350,601
1546192390,5361,451
1546192398,5362,601
1546192435,5365,116
1546192726,5382,601
1546192819,5386,601
1546192881,5390,231
1546192989,5399,584
1546193095,5404,596
1546193100,5406,536
1546193106,5408,541
1546193258,5417,547
1546193348,5422,534
1546193484,5427,601
1546193721,5441,601
1546193737,5442,601
1546193758,5444,570
1546193863,5449,567
1546194060,5458,551
1546194167,5464,601
1546194357,5477,601
1546194572,5486,601
1546194682,5492,565
1546194707,5493,601
1546194772,5497,586
1546194884,5503,471
1546194981,5509,601
1546195044,5514,596
1546195096,5517,381
1546195156,5519,476
1546195377,5530,601
1546195471,5534,551
1546195604,5543,506
1546195679,5547,576
1546195758,5551,516
1546195833,5556,601
1546195936,5561,601
1546196048,5568,570
1546196106,5573,601
1546196127,5575,450
1546196177,5577,430
1546196185,5578,591
1546196391,5587,601
1546196397,5588,541
1546196419,5589,566
1546196499,5595,481
1546196800,5607,511
1546196890,5612,601
1546197014,5620,601
1546197073,5622,601
1546197187,5632,480
1546197194,5634,596
1546197453,5649,546
1546197721,5660,521
1546197757,5662,471
1546197816,5666,466
1546197860,5668,276
1546198001,5678,491
1546198077,5681,561
1546198184,5689,601
1546198454,5702,601
1546198676,5715,601
1546198817,5722,576
1546198841,5725,556
1546198881,5729,496
1546199143,5743,561
1546199336,5754,601
1546199450,5761,490
1546199574,5768,486
1546199766,5778,601
1546199805,5781,576
1546199870,5786,476
1546199939,5791,576
1546200044,5797,601
1546200065,5799,601
1546200217,5809,601
1546200218,5810,570
1546200624,5827,601
1546200703,5830,531
1546200795,5837,601
1546200885,5847,596
1546200898,5849,576
1546201174,5861,526
1546201218,5864,596
1546201267,5866,601
1546201362,5873,591
1546201584,5883,601
1546201751,5891,601
1546201754,5893,540
1546201777,5895,516
1546201815,5898,586
1546201836,5900,601
1546201911,5909,591
1546202146,5919,601
1546202176,5920,500
1546202373,5928,601
1546202396,5930,601
1546202441,5934,601
1546202459,5935,570
1546202785,5954,591
1546202873,5959,601
1546202900,5961,580
1546202922,5962,601
1546202950,5965,601
1546203001,5974,580
1546203392,5992,601
1546203688,6002,601
1546203786,6012,601
1546203965,6017,500
1546204011,6021,581
1546204029,6022,516
1546204041,6026,601
1546204162,6032,596
1546204179,6033,596
1546204188,6034,601
1546204226,6037,601
1546204269,6040,571
1546204619,6054,601
1546204736,6059,456
1546204764,6062,561
1546204932,6079,601
1546204936,6080,601
1546205013,6084,580
1546205175,6089,601
1546205265,6097,601
1546205536,6105,541
1546205578,6107,506
1546205705,6117,580
1546205834,6123,601
1546205850,6125,540
1546205936,6131,501
1546205979,6133,561
1546205985,6135,581
1546206081,6142,601
1546206150,6148,601
1546206160,6149,601
1546206245,6151,566
1546206280,6152,586
1546206427,6159,571
1546206637,6167,556
1546206759,6174,601
1546206818,6178,556
1546206894,6184,601
1546206950,6186,580
1546207193,6202,596
1546207422,6212,561
1546207426,6213,601
1546207548,6215,601
1546207642,6222,601
1546207642,6222,580
1546207751,6227,511
1546207859,6234,601
1546207917,6239,601
1546207964,6242,601
1546207990,6246,576
1546208085,6252,586
1546208251,6266,601
1546208383,6273,601
1546208717,6284,570
1546208840,6291,531
1546209200,6311,576
1546209228,6314,601
1546209293,6318,521
1546209295,6319,601
1546209339,6326,580
1546209506,6334,551
1546209506,6354,570
1546209506,6374,601
