Time,Reward,Control,Power,Up_con,Down_con,Stad_con,Turbin,EO
177,1,0,0.063583031,0.033836354,0.166163646,0.056966667,346.5,0
178,1,0,0.06372606,0.034406066,0.165593934,0.057166667,351,0
179,1,0,0.063867971,0.034986954,0.165013046,0.057366667,355.5,0
180,1,0,0.064010307,0.035563595,0.164436405,0.057566667,360,0
181,1,0,0.064150132,0.036165344,0.163834656,0.057766667,364.5,0
182,1,0,0.064290196,0.03676471,0.16323529,0.057966667,369,0
183,1,0,0.064429343,0.037373239,0.162626761,0.058166667,373.5,0
184,1,0,0.064567395,0.037992721,0.162007279,0.058366667,378,0
185,1,0,0.064705901,0.038607658,0.161392342,0.058566667,382.5,0
186,1,0,0.064842038,0.039246288,0.160753712,0.058766667,387,0
187,1,0,0.064978436,0.03988231,0.16011769,0.058966667,391.5,0
188,1,0,0.065113932,0.040527348,0.159472652,0.059166667,396,0
189,1,0,0.065248385,0.041182816,0.158817184,0.059366667,400.5,0
190,1,0,0.065383248,0.041834186,0.158165814,0.059566667,405,0
191,1,1,0.065515622,0.042510442,0.157489558,0.059766667,409.5,0
192,1,1,0.065711498,0.042551684,0.157448316,0.059966667,414,0
193,1,1,0.065989003,0.041776641,0.158223359,0.060166667,418.5,0
194,1,1,0.066303834,0.040628323,0.159371677,0.060366667,423,0
195,1,1,0.066640571,0.039260959,0.160739041,0.060566667,427.5,0
196,1,0,0.066997357,0.0376931,0.1623069,0.060766667,432,0
197,1,0,0.067348696,0.036179704,0.163820296,0.060966667,436.5,0
198,1,0,0.067620657,0.035460093,0.164539907,0.061166667,441,0
199,1,0,0.067820676,0.03545991,0.16454009,0.061366667,445.5,0
200,1,0,0.067958444,0.036082223,0.163917777,0.061566667,450,0
201,1,0,0.068040863,0.03725804,0.16274196,0.061766667,454.5,0
202,1,0,0.068082131,0.038845352,0.161154648,0.061966667,459,0
203,1,0,0.068092071,0.040745961,0.159254039,0.062166667,463.5,0
204,1,0,0.068079993,0.042866735,0.157133265,0.062366667,468,0
205,1,0,0.068054505,0.04512162,0.15487838,0.062566667,472.5,0
206,1,0,0.0680172,0.04749467,0.15250533,0.062766667,477,0
207,1,0,0.067973502,0.049931647,0.150068353,0.062966667,481.5,0
208,1,0,0.067923345,0.05243322,0.14756678,0.063166667,486,0
209,1,0,0.067867272,0.054993951,0.145006049,0.063366667,490.5,0
210,1,0,0.067807302,0.057593648,0.142406352,0.063566667,495,0
211,1,0,0.067741036,0.060256303,0.139743697,0.063766667,499.5,0
212,1,0,0.067671947,0.062947195,0.137052805,0.063966667,504,0
213,1,0,0.067599565,0.065671019,0.134328981,0.064166667,508.5,0
214,1,0,0.067524567,0.068420994,0.131579006,0.064366667,513,0
215,1,0,0.067449413,0.071172534,0.128827466,0.064566667,517.5,0
216,1,0,0.067371994,0.073946724,0.126053276,0.064766667,522,0
217,1,0,0.06729579,0.076708769,0.123291231,0.064966667,526.5,0
218,1,0,0.067220189,0.07946478,0.12053522,0.065166667,531,0
219,1,0,0.067145668,0.082209987,0.117790013,0.065366667,535.5,0
